networkClass,connectivity,timeDifferenceTo1PPSms
Broadband,WiFi,0.838
Broadband,WiFi,2.638
Broadband,WiFi,0.288
Broadband,WiFi,-10.429
Broadband,WiFi,1.486
Broadband,WiFi,-94.388
Broadband,WiFi,-0.427
Broadband,WiFi,-3.086
Broadband,WiFi,-101.301
Broadband,WiFi,0.046
Broadband,WiFi,-12.511
Broadband,WiFi,-0.176
Broadband,WiFi,1.349
Broadband,WiFi,-2.323
Broadband,WiFi,-1.401
Broadband,WiFi,-0.889
Broadband,WiFi,0.012
Broadband,WiFi,2.165
Broadband,WiFi,-27.467
Broadband,WiFi,0.655
Broadband,WiFi,0.872
Broadband,WiFi,0.621
Broadband,WiFi,1.407
Broadband,WiFi,-98.884
Broadband,WiFi,-2.61
Broadband,WiFi,-0.003
Broadband,WiFi,0.497
Broadband,WiFi,-0.163
Broadband,WiFi,-0.175
Broadband,WiFi,0.486
Broadband,WiFi,1.823
Broadband,WiFi,-3.203
Broadband,WiFi,-0.708
Broadband,WiFi,1.416
Broadband,WiFi,0.522
Broadband,WiFi,0.563
Broadband,WiFi,-1.281
Broadband,WiFi,-0.815
Broadband,WiFi,-0.732
Broadband,WiFi,-0.106
Broadband,WiFi,-0.143
Broadband,WiFi,1.168
Broadband,WiFi,-0.222
Broadband,WiFi,2.141
Broadband,WiFi,1.642
Broadband,WiFi,-0.041
Broadband,WiFi,0.426
Broadband,WiFi,-0.559
Broadband,WiFi,-0.055
Broadband,WiFi,-0.77
Broadband,WiFi,-2.408
Broadband,WiFi,-5.639
Broadband,WiFi,1.014
Broadband,WiFi,-0.275
Broadband,WiFi,-0.211
Broadband,WiFi,-3.121
Broadband,WiFi,0.338
Broadband,WiFi,-3.857
Broadband,WiFi,-8.749
Broadband,WiFi,1.659
Broadband,WiFi,0.099
Broadband,WiFi,1.076
Broadband,WiFi,7.704
Broadband,WiFi,1.956
Broadband,WiFi,0.911
Broadband,WiFi,2.418
Broadband,WiFi,3.05
Broadband,WiFi,2.552
Broadband,WiFi,3.265
Broadband,WiFi,1.76
Broadband,WiFi,0.538
Broadband,WiFi,0.694
Broadband,WiFi,2.466
Broadband,WiFi,-0.352
Broadband,WiFi,-2.916
Broadband,WiFi,2.825
Broadband,WiFi,1.075
Broadband,WiFi,0.28
Broadband,WiFi,2.214
Broadband,WiFi,-1.213
Broadband,WiFi,-57.385
Broadband,WiFi,1.731
Broadband,WiFi,1.636
Broadband,WiFi,-0.619
Broadband,WiFi,21.71
Broadband,WiFi,-0.342
Broadband,WiFi,0.121
Broadband,WiFi,1.875
Broadband,WiFi,-1.987
Broadband,WiFi,1.044
Broadband,WiFi,-0.003
Broadband,WiFi,0.527
Broadband,WiFi,0.059
Broadband,WiFi,-1.412
Broadband,WiFi,-0.671
Broadband,WiFi,0.166
Broadband,WiFi,1.434
Broadband,WiFi,0.528
Broadband,WiFi,0.287
Broadband,WiFi,-4.0
Broadband,WiFi,-0.443
Broadband,WiFi,0.192
Broadband,WiFi,-81.848
Broadband,WiFi,1.912
Broadband,WiFi,0.045
Broadband,WiFi,0.275
Broadband,WiFi,0.501
Broadband,WiFi,-0.062
Broadband,WiFi,-1.814
Broadband,WiFi,2.562
Broadband,WiFi,1.665
Broadband,WiFi,-78.29
Broadband,WiFi,-1.087
Broadband,WiFi,0.373
Broadband,WiFi,0.385
Broadband,WiFi,0.493
Broadband,WiFi,0.26
Broadband,WiFi,0.235
Broadband,WiFi,-1.358
Broadband,WiFi,-0.903
Broadband,WiFi,-0.306
Broadband,WiFi,-0.518
Broadband,WiFi,0.713
Broadband,WiFi,0.62
Broadband,WiFi,-0.013
Broadband,WiFi,-3.307
Broadband,WiFi,1.495
Broadband,WiFi,1.214
Broadband,WiFi,0.653
Broadband,WiFi,1.729
Broadband,WiFi,3.095
Broadband,WiFi,-7.444
Broadband,WiFi,-15.005
Broadband,WiFi,-0.993
Broadband,WiFi,1.129
Broadband,WiFi,-2.461
Broadband,WiFi,0.26
Broadband,WiFi,-2.929
Broadband,WiFi,-0.281
Broadband,WiFi,4.864
Broadband,WiFi,-29.478
Broadband,WiFi,0.512
Broadband,WiFi,-118.467
Broadband,WiFi,-1.469
Broadband,WiFi,-4.166
Broadband,WiFi,2.107
Broadband,WiFi,-14.006
Broadband,WiFi,0.521
Broadband,WiFi,-2.865
Broadband,WiFi,-2.176
Broadband,WiFi,1.709
Broadband,WiFi,1.7
Broadband,WiFi,-0.88
Broadband,WiFi,-4.104
Broadband,WiFi,-7.418
Broadband,WiFi,-0.057
Broadband,WiFi,-0.249
Broadband,WiFi,1.297
Broadband,WiFi,0.044
Broadband,WiFi,0.813
Broadband,WiFi,-1.757
Broadband,WiFi,-0.449
Broadband,WiFi,-29.297
Broadband,WiFi,-1.809
Broadband,WiFi,-3.112
Broadband,WiFi,0.889
Broadband,WiFi,1.355
Broadband,WiFi,1.755
Broadband,WiFi,-0.994
Broadband,WiFi,0.405
Broadband,WiFi,0.913
Broadband,WiFi,0.672
Broadband,WiFi,0.035
Broadband,WiFi,0.585
Broadband,WiFi,1.708
Broadband,WiFi,0.464
Broadband,WiFi,-0.744
Broadband,WiFi,0.357
Broadband,WiFi,1.865
Broadband,WiFi,0.477
Broadband,WiFi,2.616
Broadband,WiFi,0.737
Broadband,WiFi,0.764
Broadband,WiFi,0.692
Broadband,WiFi,1.247
Broadband,WiFi,-0.327
Broadband,WiFi,0.476
Broadband,WiFi,0.588
Broadband,WiFi,-0.748
